perturbation,ood
az841,False
cdk1-inhibitor-iii,True
roscovitine,True
chloramphenicol,True
doxorubicin,True
sodium-butyrate,True
cathepsin-inhibitor-i,True
aloisine-a,True
vinblastine,True
sb-203580,True
az258,False
quercetin,True
deoxynojirimycin,True
anisomycin,True
cyclophosphamide,True
aphidicolin,True
cisplatin,True
camptothecin,True
az701,True
proteasome-inhibitor-i,True
methoxylamine,True
cytochalasin-d,False
herbimycin-a,True
latrunculin-b,False
carboplatin,True
arabinofuranosylcytosine,True
brefeldin-a,True
floxuridine,True
bleomycin,True
emetine,True
mevinolin-lovastatin,True
temozolomide,True
olomoucine,True
hydroxyurea,True
staurosporine,True
mitoxantrone,True
uo-126,True
sb-202190,True
sp-600125,True
valproic-acid,True
puromycin,True
okadaic-acid,True
az138,False
lactacystin,True
ag-1478,True
rapamycin,True
monastrol,True
podophyllotoxin,True
vincristine,False
filipin,True
genistein,True
pd-169316,True
y-27632,True
atropine,True
nocodazole,False
leupeptin,True
bohemine,True
neomycin,True
h-7,True
cytochalasin-b,False
pp-2,False
jasplakinolide,True
methotrexate,True
raloxifene,True
taurocholate,True
caspase-inhibitor-1-zvad-,True
alsterpaullone,True
etoposide,True
ici-182780,True
az235,True
nystatin,True
chlorambucil,True
tunicamycin,True
5-fluorouracil,True
33-diaminobenzidine,True
mg-132,True
indirubin-monoxime,True
ly-294002,True
cyclohexamide,True
alln,True
cdk1-2-inhibitor-nu6102-,True
taxol,False
bryostatin,True
demecolcine,False
forskolin,True
simvastatin,True
mitomycin-c,True
epothilone-b,False
colchicine,False
sodium-fluoride,True
calpain-inhibitor-2-allm-,True
pd-150606,True
trichostatin,True
acyclovir,True
deoxymannojirimycin,True
pd-98059,True
docetaxel,False
calpeptin,True
