perturbation,ood
az841,False
cdk1-inhibitor-iii,False
roscovitine,False
chloramphenicol,False
doxorubicin,False
sodium-butyrate,False
cathepsin-inhibitor-i,False
aloisine-a,False
vinblastine,False
sb-203580,False
az258,False
quercetin,False
deoxynojirimycin,False
anisomycin,False
cyclophosphamide,False
aphidicolin,False
cisplatin,False
camptothecin,False
az701,False
proteasome-inhibitor-i,False
methoxylamine,False
cytochalasin-d,False
herbimycin-a,False
latrunculin-b,False
carboplatin,False
arabinofuranosylcytosine,False
brefeldin-a,False
floxuridine,False
bleomycin,False
emetine,False
mevinolin-lovastatin,False
temozolomide,False
olomoucine,False
hydroxyurea,False
staurosporine,False
mitoxantrone,False
uo-126,False
sb-202190,False
sp-600125,False
valproic-acid,False
puromycin,False
okadaic-acid,False
az138,False
lactacystin,False
ag-1478,False
rapamycin,False
monastrol,False
podophyllotoxin,False
vincristine,False
filipin,False
genistein,False
pd-169316,False
y-27632,False
atropine,False
nocodazole,False
leupeptin,False
bohemine,False
neomycin,False
h-7,False
cytochalasin-b,False
pp-2,False
jasplakinolide,False
methotrexate,False
raloxifene,False
taurocholate,False
caspase-inhibitor-1-zvad-,False
alsterpaullone,False
etoposide,False
ici-182780,False
az235,False
nystatin,False
chlorambucil,False
tunicamycin,False
5-fluorouracil,False
33-diaminobenzidine,False
mg-132,False
indirubin-monoxime,False
ly-294002,False
cyclohexamide,False
alln,False
cdk1-2-inhibitor-nu6102-,False
taxol,False
bryostatin,False
demecolcine,False
forskolin,False
simvastatin,False
mitomycin-c,False
epothilone-b,False
colchicine,False
sodium-fluoride,False
calpain-inhibitor-2-allm-,False
pd-150606,False
trichostatin,False
acyclovir,False
deoxymannojirimycin,False
pd-98059,False
docetaxel,False
calpeptin,False
