perturbation,ood
s20573,False
s21735,False
s20923,False
s20008,False
s28184,False
s27999,False
s36489,False
s36255,False
s19873,False
s501339,False
s20607,False
s29452,False
s27606,False
s18778,False
s19289,False
s228517,False
s37827,False
s21571,False
s20464,False
s29270,False
s38956,False
s5459,False
s18848,False
s20365,False
s27624,False
s37901,False
s20040,False
s20468,False
s39151,False
s37706,False
s502431,False
s27359,False
s28820,False
s19121,False
s19346,False
s20044,False
s18562,False
s28165,False
s29342,False
s195493,False
s29187,False
s195435,False
s21439,False
s39061,False
s27873,False
s27880,False
s501295,False
s18457,False
s18640,False
s38470,False
s37471,False
s27898,False
s20102,False
s19839,False
s224930,False
s19513,False
s19519,False
s4165,False
s27181,False
s29104,False
s21124,False
s19750,False
s37673,False
s39312,False
s28195,False
s20226,False
s555,False
s20171,False
s19854,False
s19821,False
s19805,False
s17960,False
s28120,False
s38736,False
s27810,False
s28996,False
s224944,False
s19975,False
s19819,False
s21412,False
s38601,False
s37376,False
s29116,False
s18730,False
s39253,False
s28813,False
s29162,False
s21535,False
s38095,False
s28113,False
s19648,False
s501309,False
s39046,False
s26997,False
s27243,False
s21279,False
s21318,False
s39003,False
s39233,False
s28880,False
s224224,False
s39389,False
s19846,False
s18938,False
s225422,False
s27228,False
s36401,False
s27919,False
s19446,False
s706,False
s19917,False
s19977,False
s27660,False
s27086,False
s224963,False
s228475,False
s225417,False
s27222,False
s15652,False
s38759,False
s501307,False
s21303,False
s15788,False
s28630,False
s501323,False
s19486,False
s37451,False
s36227,False
s21550,False
s21472,False
s38093,False
s24587,False
s224940,False
s28672,False
s19355,False
s18550,False
s21467,False
s20717,False
s194768,False
s195079,False
s37429,False
s37597,False
s225436,False
s18676,False
s19169,False
s224173,False
s19780,False
s20452,False
s19869,False
s228544,False
s18742,False
s37096,False
s38409,False
s195244,False
s19067,False
s20645,False
s20383,False
s19178,False
s19996,False
s37182,False
s29367,False
s39123,False
s37581,False
s21605,False
s20496,False
s27713,False
s28441,False
s20426,False
s18962,False
s18787,False
s26902,False
s36117,False
s35961,False
s39020,False
s27224,False
s19477,False
s18679,False
s19010,False
