siRNA ID,Catalog Number,Gene Symbol,Gene Name,Alias,RefSeq,GenBank mRNA,Product Family,siRNA Type,Availability,siRNA Assay,Matched Keywords
s20592,4392420,SEMA4D,semaphorin 4D,C9orf164;CD100;M-sema-G;SEMAJ;coll-4,NM_006378.3;XM_011518123.2;XM_011518133.2;XM_017014193.1;XM_005251654.3;XM_011518134.2;XM_017014196.1;XM_011518129.1;XM_017014197.1;XM_011518128.2;XM_017014194.1;XM_011518131.2;XM_017014195.1;XM_011518130.2;XM_011518125.1;XM_011518124.2;XM_017014198.1;XM_011518127.2,U60800.1;AB210030.1;BX648216.1;BC054500.1,,Silencer® Select,Inventoried,,s20592
s21318,4392420,LILRB1,leukocyte immunoglobulin like receptor B1,CD85J;ILT-2;ILT2;LIR-1;LIR1;MIR-7;MIR7;PIR-B;PIRB,XM_011526336.2;XM_017026191.1;XM_017026192.1;XM_017026189.1;XM_011526332.2;XM_017026190.1;XM_011526331.2;XM_017026187.1;NM_001081637.2;XM_017026188.1;NM_001081638.3;XM_017026185.1;XM_017026186.1;XM_017026183.1;XM_017026184.1;XM_017026182.1;NM_001081639.3;XM_011526338.2;XM_011526335.2;NM_006669.6;NM_001278399.2;NM_001278398.2;NR_103518.2,AK223310.1;AK292156.1;AF009220.1;AF009006.1;DA953794.1;AF009221.1;EU915608.1;U82279.1;AK292028.1;AF283984.1;BC015731.1;AF009007.1;DA263280.1;AF009005.1;AF283985.1,,Silencer® Select,Inventoried,,s21318
s20422,4392420,C1D,C1D nuclear receptor corepressor,LRP1;Rrp47;SUN-CoR;SUNCOR;hC1D,NM_006333.3;NM_001190263.1;NM_001190265.1;NM_173177.2,BC009589.1;DA900336.1;BC009584.1;CN342947.1;BC016284.2;BG505686.1;BC005235.1;X95592.1,,Silencer® Select,Inventoried,,s20422
s19857,4392420,TXNDC9,thioredoxin domain containing 9,APACD;PHLP3,NM_005783.3,BC005968.1;AK222616.1;AB006679.1;CR456935.1;BC070183.1;BM553565.1;AK313777.1;BC022864.1;AB451403.1,,Silencer® Select,Inventoried,,s19857
s21225,4392420,SEC24A,"SEC24 homolog A, COPII coat complex component",,XM_006714523.2;NM_021982.2;XM_017008962.1;XM_017008961.1,BC009325.2;AK026545.1;AK304060.1;AJ131244.1;AL137677.1,,Silencer® Select,Inventoried,,s21225
s20785,4392420,MTHFS;ST20-MTHFS,"5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase);ST20-MTHFS readthrough",HsT19268,NM_001199758.1;NR_037654.1;NM_006441.3;NM_001199760.1,AK054972.1;CB995322.1;L38928.1;BC012417.1;CK002935.1;BC019921.1;DB495490.1;BM450865.1;AL110101.1;BG705061.1,,Silencer® Select,Inventoried,,s20785
s19945,4392420,GPA33,glycoprotein A33,A33,XM_017000005.1;NM_005814.2,BC069789.1;BC069723.1;BC069745.1;AK312833.1;BC069761.1;U79725.1;BC074876.2;BC107164.1;BC074830.2;BC107165.1;BC069705.1,,Silencer® Select,Inventoried,,s19945
s19866,4390824,ALG3,"ALG3, alpha-1,3- mannosyltransferase",CDG1D;CDGS4;CDGS6;D16Ertd36e;NOT56L;Not56;not,XM_011512323.2;NM_001006941.2;NR_024534.1;NM_005787.5;NR_024533.1;XM_011512322.1,KP189299.1;KP189321.1;KP189282.1;KP189301.1;KP189323.1;KP189284.1;KP189304.1;KP189310.1;KP189292.1;KP189313.1;KP189318.1;AK289361.1;BC002839.2;KP189302.1;KP189324.1;Y09022.1;BM920198.1;KP189305.1;KP189326.1;AK297701.1;KP189287.1;KP189307.1;KP189289.1;KP189311.1;KP189293.1;BC021062.1;KP189295.1;KP189316.1;KP189297.1;BC004313.1;KP189280.1;KP189281.1;KP189300.1;KP189322.1;KP189283.1;KP189285.1;KP189308.1;KP189290.1;KP189312.1;KP189314.1;KP189319.1;KP189320.1;KP189303.1;KP189325.1;KP189286.1;KP189306.1;KP189327.1;AK299575.1;KP189288.1;KP189309.1;KP189291.1;KP189294.1;BX339649.2;KP189315.1;KP189296.1;KP189317.1;KP189279.1;KP189298.1,,Silencer® Select,Inventoried,,s19866
s21151,4392420,HBS1L,HBS1 like translational GTPase,EF-1a;ERFS;HBS1;HSPC276;eRF3c,NM_001145158.1;NM_006620.3,BX648033.1;AB028961.1;BC001465.2;AL137664.1;AK024258.1;AK295545.1;AJ459826.1;BC040849.1;AK293573.1;AK298336.1;U87791.1;AJ420551.1,,Silencer® Select,Inventoried,,s21151
s20452,4390824,TAB1,TGF-beta activated kinase 1/MAP3K7 binding protein 1,3'-Tab1;MAP3K7IP1,NM_006116.2;NM_153497.2,AK296314.1;AK312456.1;BC050554.1;BC038582.1;AK316004.1;AF425640.1;AK291668.1;U49928.1,,Silencer® Select,Inventoried,,s20452
